HSCode,Name,Metro_Area,City,Admitted2015,Enrolled2015,enrolled2015PctSeniors,campus_url,twelfthcount,allstudentscount,BlackHispMulti,WhiteOther,Color,african_american_percent,hispanic_percent,atRiskPct,ecoDisPct,collegeReadyBothPct
2446025,Round Rock High School,Austin-Round Rock,Round Rock,54,48,0.076,/districts/round-rock-isd/round-rock-high-school/,634,2970,0.36,0.64,White,5.1,27.8,0.256,0.143,0.74
2444097,Rouse High School,Austin-Round Rock,Leander,20,10,0.02,/districts/leander-isd/rouse-high-school/,500,2329,0.39,0.61,White,6.4,29.3,0.485,0.246,0.63
2446325,San Marcos High School,Austin-Round Rock,San Marcos,18,6,0.013,/districts/san-marcos-cisd/san-marcos-high-school/,456,2151,0.78,0.22,Minority,5.3,71.8,0.467,0.621,0.56
2446600,Smithville High School,Austin-Round Rock,Smithville,3,1,0.009,/districts/smithville-isd/smithville-high-school/,107,512,0.35,0.65,White,8,24.6,0.469,0.441,0.63
2440320,Stephen F Austin High School,Austin-Round Rock,Austin,41,26,0.054,/districts/austin-isd/austin-high-school/,484,2076,0.51,0.49,Minority,5.3,42.9,0.379,0.287,0.71
2446037,Stony Point High School,Austin-Round Rock,Round Rock,28,20,0.041,/districts/round-rock-isd/stony-point-high-school/,492,2461,0.65,0.35,Minority,16.6,44.9,0.43,0.4,0.61
2446902,Taylor High School,Austin-Round Rock,Taylor,10,5,0.025,/districts/taylor-isd/taylor-high-school/,202,957,0.7,0.3,Minority,10.3,58.3,0.417,0.602,0.47
2440363,Vandegrift High School,Austin-Round Rock,Austin,55,36,0.084,/districts/leander-isd/vandegrift-high-school/,427,2060,0.22,0.79,White,3.4,15,0.216,0.071,0.81
2441176,Vista Ridge High School,Austin-Round Rock,Cedar Park,40,30,0.067,/districts/leander-isd/vista-ridge-high-school/,446,2111,0.31,0.69,White,5.4,22.1,0.379,0.176,0.7
2440349,W Charles Akins High School,Austin-Round Rock,Austin,26,18,0.032,/districts/austin-isd/akins-high-school/,554,2661,0.87,0.13,Minority,7.3,77.5,0.582,0.693,0.47
2440324,Westlake High School,Austin-Round Rock,Austin,118,74,0.123,/districts/eanes-isd/westlake-high-school/,600,2539,0.2,0.8,White,1.2,14.4,0.173,0.028,0.92
2440326,Westwood High School,Austin-Round Rock,Austin,124,86,0.137,/districts/round-rock-isd/westwood-high-school/,627,2731,0.24,0.76,White,3.3,16.3,0.23,0.12,0.88
2440325,William B Travis High School,Austin-Round Rock,Austin,18,14,0.05,/districts/austin-isd/travis-high-school/,281,1306,0.95,0.05,Minority,9,85.5,0.763,0.861,0.43
2447586,Wimberley High School,Austin-Round Rock,Wimberley,11,4,0.023,/districts/wimberley-isd/wimberley-high-school/,174,695,0.21,0.79,White,0,18,0.291,0.19,0.7
2440065,Aledo High School,Dallas-Fort Worth-Arlington,Aledo,19,9,0.023,/districts/aledo-isd/aledo-high-school/,394,1191,0.13,0.87,White,2.1,9,0.224,0.071,0.79
2440077,Allen High School,Dallas-Fort Worth-Arlington,Allen,99,66,0.047,/districts/allen-isd/allen-high-school/,1397,4532,0.29,0.71,White,11.8,14.3,0.236,0.137,0.74
2440105,Alvarado High School,Dallas-Fort Worth-Arlington,Alvarado,2,1,0.005,/districts/alvarado-isd/alvarado-high-school/,220,1033,0.34,0.66,White,3.2,29.7,0.399,0.507,0.48
2442500,Amon Carter-Riverside High School,Dallas-Fort Worth-Arlington,Ft Worth,3,1,0.004,/districts/fort-worth-isd/carter-riverside-high-school/,245,1272,0.91,0.09,Minority,5.7,85.1,0.757,0.829,0.39
2440190,Anna High School,Dallas-Fort Worth-Arlington,Anna,1,1,0.007,/districts/anna-isd/anna-high-school/,141,705,0.43,0.57,White,12.6,27.7,0.315,0.372,0.59
2440256,Argyle High School,Dallas-Fort Worth-Arlington,Argyle,10,5,0.028,/districts/argyle-isd/argyle-high-school/,180,711,0.12,0.88,White,0.7,9.8,0.101,0.093,0.72
2442505,Arlington Heights High School,Dallas-Fort Worth-Arlington,Fort Worth,13,10,0.033,/districts/fort-worth-isd/arlington-heights-high-school/,305,1823,0.71,0.29,Minority,21.1,47.2,0.604,0.424,0.55
2440240,Arlington High School,Dallas-Fort Worth-Arlington,Arlington,26,11,0.017,/districts/arlington-isd/arlington-high-school/,665,2843,0.59,0.41,Minority,16.3,39.8,0.599,0.519,0.56
2440288,Aubrey High School,Dallas-Fort Worth-Arlington,Aubrey,5,1,0.009,/districts/aubrey-isd/aubrey-high-school/,110,585,0.21,0.79,White,3.4,16.8,0.277,0.231,0.66
2440375,Azle High School,Dallas-Fort Worth-Arlington,Azle,4,2,0.006,/districts/azle-isd/azle-high-school/,355,1741,0.21,0.79,White,0.8,17.9,0.383,0.41,0.55
2441950,Billy C Ryan High School,Dallas-Fort Worth-Arlington,Denton,10,7,0.013,/districts/denton-isd/ryan-high-school/,530,2404,0.51,0.49,Minority,14.9,34.8,0.49,0.483,0.57
2445137,Birdville High School,Dallas-Fort Worth-Arlington,North Richland H,8,2,0.004,/districts/birdville-isd/birdville-high-school/,455,2083,0.4,0.6,White,8.7,28.5,0.388,0.347,0.63
2441732,Booker T. Washington High School/Perf Vis Arts,Dallas-Fort Worth-Arlington,Dallas,31,14,0.064,/districts/dallas-isd/booker-t-washington-school-for-the-performing-and-visual-arts/,218,896,0.48,0.52,White,20.6,24.8,0.105,0.248,0.79
2441723,Bryan Adams High School,Dallas-Fort Worth-Arlington,Dallas,15,1,0.003,/districts/dallas-isd/bryan-adams-high-school/,368,1936,0.92,0.08,Minority,15,77.1,0.749,0.843,0.36
2441021,Burleson Centennial High School,Dallas-Fort Worth-Arlington,Burleson,4,1,0.003,/districts/burleson-isd/burleson-centennial-high-school/,337,1568,0.27,0.73,White,5.5,19.7,0.372,0.283,0.61
2441020,Burleson High School,Dallas-Fort Worth-Arlington,Burleson,4,3,0.009,/districts/burleson-isd/burleson-high-school/,335,1583,0.26,0.74,White,4.9,18.3,0.375,0.336,0.54
