High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Duncanville High School,Dallas-Fort Worth-Arlington,Duncanville,0.02342,0.925,0.075,0.636,0.68,0.4,1305,18.6,35,20,Minority
Lawrence D Bell High School,Dallas-Fort Worth-Arlington,Hurst,0.02332,0.433,0.568,0.435,0.403,0.69,1514,22.3,25,16,White
Newman Smith High School,Dallas-Fort Worth-Arlington,Carrollton,0.02296,0.755,0.246,0.413,0.599,0.6,1531,21.9,17,9,Minority
Hebron High School,Dallas-Fort Worth-Arlington,Carrollton,0.02294,0.33,0.67,0.164,0.17,0.72,1615,23.9,44,17,White
Aledo High School,Dallas-Fort Worth-Arlington,Aledo,0.02284,0.133,0.868,0.224,0.071,0.79,1592,24.1,19,9,White
Wylie High School,Dallas-Fort Worth-Arlington,Wylie,0.02283,0.388,0.612,0.307,0.233,0.66,1488,21.8,17,10,White
R L Turner High School,Dallas-Fort Worth-Arlington,Carrollton,0.02232,0.833,0.167,0.551,0.708,0.49,1432,19.6,16,10,Minority
Warren T White High School,Dallas-Fort Worth-Arlington,Dallas,0.02203,0.871,0.128,0.634,0.763,0.58,1343,18.2,24,10,Minority
Garland High School,Dallas-Fort Worth-Arlington,Garland,0.02189,0.735,0.265,0.576,0.548,0.52,1546,22.6,30,13,Minority
W E Boswell High School,Dallas-Fort Worth-Arlington,Fort Worth,0.02167,0.344,0.656,0.308,0.297,0.54,1445,21,13,7,White
Mansfield Legacy High School,Dallas-Fort Worth-Arlington,Mansfield,0.02156,0.444,0.557,0.367,0.319,0.63,1491,22.3,13,8,White
James W Martin High School,Dallas-Fort Worth-Arlington,Arlington,0.02152,0.349,0.65,0.473,0.255,0.64,1568,23.4,30,17,White
Mansfield Summit High School,Dallas-Fort Worth-Arlington,Arlington,0.02128,0.671,0.329,0.45,0.522,0.6,1409,20.6,12,9,Minority
Justin F Kimball High School,Dallas-Fort Worth-Arlington,Dallas,0.02091,0.984,0.015,0.802,0.853,0.34,1104,15.1,16,6,Minority
Robert L Paschal High School,Dallas-Fort Worth-Arlington,Fort Worth,0.02062,0.689,0.311,0.548,0.406,0.64,1457,23,32,12,Minority
Mansfield Timberview High Sch,Dallas-Fort Worth-Arlington,Arlington,0.02035,0.768,0.232,0.459,0.455,0.55,1401,19.9,9,7,Minority
McKinney North High School,Dallas-Fort Worth-Arlington,McKinney,0.02022,0.434,0.566,0.282,0.275,0.7,1546,22,16,9,White
North Dallas High School,Dallas-Fort Worth-Arlington,Dallas,0.02016,0.938,0.063,0.794,0.834,0.34,1134,15.3,7,5,Minority
South Grand Prairie Hs,Dallas-Fort Worth-Arlington,Grand Prairie,0.02014,0.794,0.206,0.517,0.543,0.52,1370,19.7,21,14,Minority
Heritage High School,Dallas-Fort Worth-Arlington,Frisco,0.02009,0.395,0.605,0.252,0.162,0.76,1576,23.2,22,9,White
Prosper High School,Dallas-Fort Worth-Arlington,Prosper,0.02000,0.246,0.755,0.151,0.083,0.75,1561,23.2,20,8,White
Cedar Hill High School,Dallas-Fort Worth-Arlington,Cedar Hill,0.02000,0.915,0.085,0.559,0.583,0.38,1298,18.1,16,11,Minority
Dr Justin Wakeland Hs,Dallas-Fort Worth-Arlington,Frisco,0.01996,0.22,0.78,0.136,0.073,0.82,1591,23.8,22,9,White
"School Of Government, Law, And Law Enforce",Dallas-Fort Worth-Arlington,Dallas,0.01942,0.944,0.056,0.209,0.791,0.9,1530,21.9,5,2,Minority
Decatur High School,Dallas-Fort Worth-Arlington,Decatur,0.01932,0.316,0.684,0.362,0.319,0.61,1462,21.8,5,4,White
Lake Worth High School,Dallas-Fort Worth-Arlington,Lake Worth,0.01863,0.716,0.284,0.483,0.69,0.33,1280,17.4,3,3,Minority
Fossil Ridge High School,Dallas-Fort Worth-Arlington,Keller,0.01826,0.474,0.527,0.364,0.396,0.66,1467,20.9,11,9,White
Sunnyvale High School,Dallas-Fort Worth-Arlington,Sunnyvale,0.01818,0.229,0.772,0.12,0.097,0.76,1540,22.8,5,2,White
Pilot Point High School,Dallas-Fort Worth-Arlington,Pilot Point,0.01739,0.374,0.625,0.435,0.44,0.58,1427,19.4,2,2,White
Lake Dallas High School,Dallas-Fort Worth-Arlington,Lake Dallas,0.01718,0.349,0.651,0.228,0.278,0.61,1459,22.5,8,5,White
John A Dubiski Career H.S.,Dallas-Fort Worth-Arlington,Grand Prairie,0.01714,0.835,0.166,0.486,0.67,0.7,1417,19.7,9,6,Minority
Granbury Senior High School,Dallas-Fort Worth-Arlington,Granbury,0.01703,0.235,0.765,0.304,0.375,0.58,1485,21.9,12,7,White
Arlington High School,Dallas-Fort Worth-Arlington,Arlington,0.01654,0.588,0.411,0.599,0.519,0.56,1492,22.1,26,11,Minority
Timber Creek High School,Dallas-Fort Worth-Arlington,Fort Worth,0.01616,0.371,0.63,0.28,0.216,0.6,1516,22.2,17,10,White
Denton High School,Dallas-Fort Worth-Arlington,Denton,0.01609,0.491,0.51,0.422,0.402,0.53,1472,20.6,15,7,White
Macarthur High School,Dallas-Fort Worth-Arlington,Irving,0.01590,0.789,0.211,0.632,0.651,0.51,1248,19.1,16,9,Minority
Colony High School,Dallas-Fort Worth-Arlington,The Colony,0.01580,0.461,0.54,0.253,0.363,0.55,1527,21.9,9,7,White
South Oak Cliff High School,Dallas-Fort Worth-Arlington,Dallas,0.01569,0.991,0.008,0.84,0.838,0.23,1029,14.4,10,4,Minority
Keller High School,Dallas-Fort Worth-Arlington,Keller,0.01546,0.162,0.837,0.187,0.045,0.83,1637,24.4,21,9,White
Melissa High School,Dallas-Fort Worth-Arlington,Melissa,0.01538,0.25,0.75,0.234,0.148,0.58,1476,21.7,5,2,White
Skyline High School,Dallas-Fort Worth-Arlington,Dallas,0.01530,0.974,0.027,0.652,0.824,0.39,1234,16.6,36,16,Minority
Moises E Molina High School,Dallas-Fort Worth-Arlington,Dallas,0.01518,0.985,0.014,0.747,0.889,0.44,1161,15.6,19,7,Minority
Kaufman High School,Dallas-Fort Worth-Arlington,Kaufman,0.01471,0.412,0.586,0.394,0.527,0.54,1354,20.1,4,3,White
Weatherford High School,Dallas-Fort Worth-Arlington,Weatherford,0.01378,0.274,0.726,0.459,0.32,0.53,1465,20.9,16,7,White
North Garland High School,Dallas-Fort Worth-Arlington,Garland,0.01375,0.71,0.29,0.595,0.63,0.53,1463,20.9,12,7,Minority
